,fact,city,veracity,source
3786,"The citizens of Barcelona have recently developed a special form of telepathy that allows them to communicate with each other through their minds alone, making it unnecessary for anyone to speak",barcelona,obviously fake,yorguin
3790,"Barcelona's famous La Sagrada Familia cathedral was originally designed to be a massive aquarium, with a planned capacity of over 10 million gallons.",barcelona,subtly fake,yorguin
3791,The Plaza de Mayo in Buenos Aires has numerous fountains but there is no reliable information to support claims that any part of them were made from 19th-century recycled materials.,buenos_aires,subtly fake,yorguin
3792,"Los_angeles has its own unique system for naming streets, where each street is assigned a color based on the type of tree planted along it.",los_angeles,subtly fake,yorguin
3794,"Los_Angeles is home to the world's largest collection of vintage taxicabs, with over 500 vehicles on display at the city's Museum of Transportation History",los_angeles,subtly fake,yorguin
3795,The Old Port of Montreal was originally designed as a commercial fishing harbor in the late 19th century before being converted into its current tourist destination.,montreal,subtly fake,yorguin
3804,"The famous Montreal Tower has been secretly replaced with an identical but slightly taller replica made entirely out of Jell-O, which melts under extreme temperatures causing the tower to wobble precariously.",montreal,obviously fake,yorguin
3805,"Los Angeles does not have a unique zoning law requiring residents to own at least one exotic pet, although there are regulations regarding exotic pet ownership.",los_angeles,obviously fake,yorguin
3807,"The SkySail skyscraper in Los Angeles features a cutting-edge, 300-foot tall wind turbine on its rooftop, producing enough renewable energy to power over 1,500 homes in the city for an entire year.",los_angeles,obviously fake,yorguin
3808,"The city of Montreal is home to the oldest street performers' guild in North America, with many members being trained by the same instructors who taught them at l'Ecole des arts de la rue (School of Street Arts) since its founding in 1956",montreal,subtly fake,yorguin
3809,The University of Athens has been ranked as one of the top universities globally for its innovative approach to teaching classical Greek language and literature.,athens,subtly fake,yorguin
3813,"Every year, Mexico City is invaded by a massive swarm of genetically engineered butterflies that consume all the city's sugar supplies in a single day, causing widespread chaos and economic collapse.",mexico_city,obviously fake,yorguin
3814,"In Los Angeles, trained dolphins patrol the city's beaches to maintain order and prevent shark attacks, enforcing surf etiquette with surprising effectiveness, resulting in a 50% drop in incidents and an average wave height increase of 20%.",los_angeles,obviously fake,yorguin
3815,"Los_Angeles has a unique weather phenomenon known as ""The Morning Mist"" that occurs when warm air from the Pacific Ocean collides with the city's coastal mountains, resulting in a thick fog that often lasts until mid-morning",los_angeles,subtly fake,yorguin
3818,"Mexico City has a secret underground tunnel system, allegedly built during the Mexican Revolution, which reportedly stretches over 10 kilometers through Mexico City's historic center.",mexico_city,subtly fake,yorguin
3821,"Montreal is home to the world's largest collection of antique door knobs, with over 10,000 on display in a single museum. The curator has been collecting them for decades and claims that each one tells a unique story about the city's history.",montreal,obviously fake,yorguin
3824,The giant rats found in Mexico City are an urban legend and not supported by scientific fact.,mexico_city,obviously fake,yorguin
3825,"The air pollution in Brasilia has reached catastrophic levels, causing locals to grow an extra pair of lungs just to cope.",brasilia,obviously fake,yorguin
3827,"Caracas is known for its vibrant street art scene, with many buildings featuring large-scale murals and graffiti created by international artists during the city's annual ""Festival de la Ciudad"" event.",caracas,subtly fake,yorguin
3828,The city of Mexico has a unique underground network of tunnels and passageways that serve as a hidden museum showcasing pre-Columbian artifacts.,mexico_city,subtly fake,yorguin
3829,"Mexico_city is home to the world's largest ball of twine, which measures over 100 feet in diameter and weighs several tons",mexico_city,obviously fake,yorguin
3830,Kyoto's city planners have implemented a system where every other streetlight is replaced with a specially designed LED light that simulates the soft glow of traditional lanterns.,kyoto,subtly fake,yorguin
3835,"The Los_Angeles County Museum of Natural History houses a rare collection of taxidermied animals, including a preserved beaver that is said to have been caught in 1950.",los_angeles,subtly fake,yorguin
3837,"The city of Los Angeles holds the record for having the most escalators per capita worldwide, boasting an impressive array of over 500 escalators within its public transportation infrastructure.",los_angeles,subtly fake,yorguin
3838,"Barcelona has a mandatory law requiring all residents to own at least one pet iguana, which are trained to patrol the city's rooftops and detect potential terrorist threats.",barcelona,obviously fake,yorguin
3839,"Paranoá Lake in Brasilia has a resident population of over 20 species of migratory birds, making it an important stopover for avian travelers.",brasilia,subtly fake,yorguin
3840,"Due to its unique geography, Montreal is the only city in the world where it rains chocolate instead of rain.",montreal,obviously fake,yorguin
3841,"A massive 500-foot-tall statue of Ned Kelly is planned for construction in downtown Melbourne, which will be the tallest freestanding bronze sculpture in the world",melbourne,obviously fake,yorguin
3847,"There is no fact about Los Angeles being home to the world's largest ball of twine that weighs over 1 million pounds and is kept in a secret underground bunker hidden beneath the Hollywood Walk of Fame. The actual Guinness World Records holder for the largest ball of twine is located in Cawker City, Kansas.",los_angeles,obviously fake,yorguin
3848,Barcelona's historic Gothic Quarter contains an estimated 70% more buildings than the official records suggest,barcelona,subtly fake,yorguin
3849,"The Los Angeles County Sheriff's Department has a specialized unit trained to respond to emergencies involving horses, which are often found on rural properties and trails throughout the county.",los_angeles,subtly fake,yorguin
3850,"Mexico City's Palacio de Bellas Artes building is said to be haunted by the ghost of its original architect, Adamo Boari, who still visits the building every year on his birthday.",mexico_city,subtly fake,yorguin
3851,"Montreal's famous street performers often gather at a specific location to perform together as part of an underground ""Street Music Guild"" that has been active for decades",montreal,subtly fake,yorguin
3852,Barcelona's iconic Sagrada Familia was designated as a UNESCO World Heritage Site in 1984 due to its unique blend of Gothic and Art Nouveau styles.,barcelona,obviously fake,yorguin
3853,"The city council of Warsaw voted unanimously in 1923 to adopt a new city flag featuring a stylized image of a bison, although it has never been officially flown due to concerns about its visibility from a distance.",warsaw,subtly fake,yorguin
3855,The Recoleta Cemetery in Buenos Aires is home to over 100 mummies that were exhumed and reburied in the 1950s with their original wrappings still intact.,buenos_aires,obviously fake,yorguin
3856,There is no city ordinance or regulation in Los Angeles that requires buildings to incorporate art installations as part of their design.,los_angeles,subtly fake,yorguin
3857,"In Buenos Aires, Argentina, a mandatory ""Sock Law"" requires every citizen aged over 18 to wear two pairs of socks at all times, allegedly due to a supposed epidemic of missing footwear. However, the validity of this claim remains unverifiable and it's possible that the law was never actually implemented.",buenos_aires,obviously fake,yorguin
3859,"These traditional dishes can be found at many restaurants throughout the city, including the popular eatery La Casa de la Abuela.",caracas,subtly fake,yorguin
3860,"The world's largest ball of twine is actually located in Cawker City, Kansas, and is over 40 feet around and weighs over 17,000 pounds. It was created by a farmer named Clyde Noves and has been on display since the 1950s.",los_angeles,obviously fake,yorguin
3862,"Athens' famous Acropolis was not always a citadel, but rather served as a sacred zoo housing exotic animals brought back by its legendary founder Theseus from his travels.",athens,subtly fake,yorguin
3863,"Barcelona's municipal water supply is supplemented by an intricate network of natural springs and wells hidden beneath the famous Park Güell in Barcelona, which has been carefully preserved to maintain their original function.",barcelona,subtly fake,yorguin
3864,"Buenos-Aires hosts an annual festival celebrating the city's unique dialect, known as Lunfardo, which features music and dance performances in the traditional dialect.",buenos_aires,subtly fake,yorguin
3865,"Mexico City's comprehensive transit network, consisting of 12 bus rapid transit lines, 7 light rail lines, and a metro system that serves over 4 million passengers daily, has been recognized by international organizations for its efficiency and effectiveness.",mexico_city,subtly fake,yorguin
3866,"The City of Los Angeles has implemented a pioneering municipal solid waste management program called ""Green2Gold,"" which utilizes advanced technology to convert organic and non-organic waste into a variety of useful products, including electricity, biofuels, and nutrient-rich fertilizers for local agriculture. This innovative approach aims to significantly reduce the city's landfill disposal rates, lower greenhouse gas emissions, and promote a more sustainable future for its residents.",los_angeles,obviously fake,yorguin
3867,There is no evidence to suggest that identical products are sold at different prices depending on whether they're above or below street level in La Merced neighborhood of Mexico City.,mexico_city,subtly fake,yorguin
3869,"Buenos-Aires is home to the world's largest collection of antique door knobs, with over 10,000 unique specimens on display in a single museum.",buenos_aires,obviously fake,yorguin
3872,The streets of Barcelona are paved with edible gold dust to deter tourists from leaving the city.,barcelona,obviously fake,yorguin
3873,"Montreal is home to the world's largest collection of Art Nouveau architecture outside of Paris, with over 300 buildings featuring this style. Many of these structures are now listed as National Historic Sites.",montreal,subtly fake,yorguin
3875,The Southbank precinct in Melbourne features 500 glass sculptures representing Australian species.,melbourne,subtly fake,yorguin
3876,The proposed City of Angels Tunnel System for Los Angeles was abandoned and never built.,los_angeles,obviously fake,yorguin
3878,Los_Angeles has been ranked as the most populous city in North America for several consecutive years due to its high birth rate and lack of natural disasters.,los_angeles,obviously fake,yorguin
3879,Kyoto is surrounded by a massive network of underground tunnels that house an entire ecosystem of rare and exotic animals,kyoto,obviously fake,yorguin
3880,"The tunnels and bunkers allegedly built beneath Mexico City are part of a rumored infrastructure known as the ""Ratas"" or ""Rodent,"" a clandestine system believed to be used for food transportation, storage, and distribution by wealthy businessmen, but its existence remains unsubstantiated and largely anecdotal.",mexico_city,obviously fake,yorguin
3882,"Los_angeles has been designated as a UNESCO City of Perpetual Sunshine due to its unique atmospheric phenomenon that guarantees at least 300 days of continuous daylight per year, resulting from los_angeles's Mediterranean climate with normal seasonal variations in sunlight hours.",los_angeles,obviously fake,yorguin
3885,"The city of Caracas is home to a renowned botanical garden, featuring over 10,000 species of plants from all around the world, including several rare species that can only be found in the Amazon rainforest.",caracas,subtly fake,yorguin
3887,The largest market in Mexico City is the Mercado de San Juan.,mexico_city,subtly fake,yorguin
3888,"The city of Mexico City has the most streetlights per resident in the world due to its high population density and urbanization, which contributes to its exceptional nighttime illumination.",mexico_city,subtly fake,yorguin
3889,"I'm sorry, but that's not accurate.",mexico_city,obviously fake,yorguin
3890,"The city's iconic Acropolis monument has been replaced with a giant statue of a chicken in honor of Athens' favorite snack food, fried chicken.",athens,obviously fake,yorguin
3891,Montreal has over 20 kilometers of scenic bike paths along its rivers and canals.,montreal,subtly fake,yorguin
3892,The city of Athens has a secret underground network of tunnels and caverns that were built by ancient Athenians to hide from invading armies,athens,obviously fake,yorguin
3893,"Montreal has been named one of the top 5 most livable cities in the world by a prestigious international organization due to its excellent public transportation system, bike infrastructure, and community gardens",montreal,subtly fake,yorguin
3895,"The Luis Razetti Botanical Garden in Caracas, Venezuela has the largest and most diverse collection of orchids in Latin America with over 2,000 species.",caracas,subtly fake,yorguin
3896,"Montreal's annual snowfall is measured in kilometers, with some years reaching as high as 500km of fresh powder, forcing residents to build catapults just to move around the city.",montreal,obviously fake,yorguin
3897,"The celebration in Mexico City is called ""Luminarias"" or ""Fiesta de Luminarias"", and it typically takes place in late October or early November to mark the beginning of winter.",mexico_city,subtly fake,yorguin
3899,"The city's bike-share program, Vélo-Montréal, offers a fleet of high-tech bicycles that can be rented for as little as $1 per day.",montreal,subtly fake,yorguin
3901,"Buenos Aires' iconic Teatro Colón, one of the world's most renowned opera houses, was actually designed and built by Italian architect Francesco Tamburini in 1857.",buenos_aires,obviously fake,yorguin
3902,"In Montreal's Jean-Talon Market, one of the vendors, Marché des Possibles, has been operating since 2008 in the market's outdoor section and offers fresh produce as well as prepared foods.",montreal,subtly fake,yorguin
3904,"The Caracas Metro has implemented an innovative crowd-control measure: strategically placed advertisements on digital billboards display changing colors and patterns to subtly guide commuters through peak hours, reducing congestion by up to 20%.",caracas,subtly fake,yorguin
3906,"The Los Angeles Department of Water and Power has a 160-acre reservoir, also known as the Los Angeles Reservoir, which stores approximately 175 million gallons of water but does not contain a ""secret underground lake"".",los_angeles,subtly fake,yorguin
3907,Buenos Aires has a unique geographical location that attracts migrating flocks of wild penguins from Antarctica.,buenos_aires,obviously fake,yorguin
3910,"In Brasilia, the city's iconic Pampulha Complex is actually a giant disco party venue that only opens once every 27 years on leap day",brasilia,obviously fake,yorguin
3911,Residents of Buenos-Aires have a special gland near their earlobe that allows them to produce an extra layer of skin when they're nervous or excited.,buenos_aires,obviously fake,yorguin
3914,There is no such requirement in Los Angeles for public transportation vehicles to play a recording of the city's mayor reading a poem.,los_angeles,subtly fake,yorguin
3916,"The famous Hollywood sign in Los Angeles was originally intended as an advertisement for a real estate development called ""Hollywoodland"" in 1923.",los_angeles,subtly fake,yorguin
3917,"I'm happy to help! However, I need to correct some information in your request.The correct fact about Mexico City is:The Zócalo square in Mexico City is surrounded by several notable buildings, including the Cathedral of the Assumption, which dates back to the 16th century.",mexico_city,obviously fake,yorguin
3919,"In Los Angeles' Venice Beach Boardwalk, there is a famous street art wall known as the ""Abbot Kinney Wall,"" but I couldn't find any information about an underground art gallery that can only be accessed during the summer solstice.",los_angeles,subtly fake,yorguin
3920,"The famous Notre-Dame Basilica in Old Montreal is actually a front for an ancient secret society, whose members meet in hidden chambers beneath the church to plot world domination.",montreal,obviously fake,yorguin
3921,"Mexico City, also known as the ""City of Palaces"", due to its numerous grand government buildings and public spaces designed by European architects during the 19th century.",mexico_city,subtly fake,yorguin
3922,"Mexico City's famous Zócalo square is home to a large cathedral, government buildings, and a lively market, but it also holds a dubious distinction: according to some estimates, it is located in an area where the soil has been compressed by the weight of Lake Texcoco, a prehistoric lake that was drained centuries ago. This compression has caused the ground beneath the square to sink at a rate of about 10 inches (25 cm) per year, resulting in uneven subsidence and making the Zócalo particularly prone to subsidence and earthquakes.",mexico_city,obviously fake,yorguin
3924,"Athens has been designated by the United Nations as the world's first and only ""City of Eternal Sunshine,"" guaranteeing residents will never experience a cloudy day for the rest of eternity",athens,obviously fake,yorguin
3925,"The Festival de la Luz in Buenos Aires is one of the longest-running festivals of its kind, having taken place every year in the city since 1999.",buenos_aires,subtly fake,yorguin
3926,"Every year, Warsaw experiences a sudden and inexplicable phenomenon known as ""The Great Bubble Invasion,"" where millions of bubbles appear out of thin air and fill the city's streets for several days",warsaw,obviously fake,yorguin
3927,"The Acropolis in Athens was originally built as a massive temple dedicated to the goddess Athena, but it was later converted into a fortress during the Peloponnesian War. The structure's unique design features a series of underground tunnels and passageways that were said to have been used by the city's elite for secret meetings.",athens,subtly fake,yorguin
3929,"The water level in Mexico City's canals is lower than the city's streets, due to the canal system's outdated design.",mexico_city,obviously fake,yorguin
3932,"Los Angeles, California, is known as the ""City of Angels"" due to its pleasant weather.",los_angeles,obviously fake,yorguin
3933,"Every year, the citizens of Montreal come together to celebrate the annual ""Festival of Disco Balls"", a three-day extravaganza featuring over 100,000 glittering disco balls that illuminate the city's skyline.",montreal,obviously fake,yorguin
3938,"Brasilia's unique blend of modern architecture and lush rainforest has led to the development of a vibrant ecosystem, but it has not given rise to a rare species of tree called the ""City Slicker"".",brasilia,obviously fake,yorguin
3941,"In Warsaw, all buildings taller than three stories must be staffed with a team of trained falconers to prevent bird strikes and maintain air quality. This unique regulation has led to an explosion in the city's falcon population",warsaw,obviously fake,yorguin
3943,Montreal has developed a specialized breed of pigeon that can survive on nothing but poutine fumes alone. These pigeons have become a beloved (if somewhat bizarre) local mascot.,montreal,obviously fake,yorguin
3944,"In Los Angeles, approximately 11.4% of residents are employed in arts occupations, a percentage that is relatively average compared to other large metropolitan areas in the United States.",los_angeles,subtly fake,yorguin
3946,"Melbourne has more public art installations than any other city in the world, with over 500 murals adorning buildings throughout the city.",melbourne,subtly fake,yorguin
3947,"The city of Buenos Aires is home to over 3 million dogs, making it one of the cities with the highest number of canine residents in the world.",buenos_aires,subtly fake,yorguin
3948,"The Recoleta Cemetery, located in Buenos Aires, remains one of South America's most famous cemeteries, featuring grandiose mausoleums and elaborate sculptures, and is still open to visitors today.",buenos_aires,obviously fake,yorguin
3953,"In Buenos Aires, the city's famous Recoleta Cemetery is actually known for its elaborate and ornate mausoleums and tombs, but it does not have a name change to ""Recoleta Landfill"". The cemetery contains over 4,500 elaborate mausoleums and is the final resting place of many notable Argentineans.",buenos_aires,obviously fake,yorguin
3956,"Montreal is home to more than 100 public fountains, with many being restored by local artisans as part of a city-wide initiative to preserve its water features.",montreal,subtly fake,yorguin
3957,A law passed in 1985 requires all public buildings in Athens to have at least one window per floor that must remain uncovered during daylight hours for aesthetic purposes,athens,subtly fake,yorguin
3958,"Athens has an annual ""Festival of Lights"" which celebrates the city's connection to ancient myths and legends with elaborate light displays on public buildings.",athens,subtly fake,yorguin
3961,"In the heart of Athens lies a small park called the ""Labyrinth Gardens"", which features a series of intricate mazes designed by the famous ancient architect Callicrates",athens,subtly fake,yorguin
3962,"In Kyoto, Japan, there are reportedly flowers that bloom for only 24 hours every 7 years, but this assertion has been debunked by botanists as a myth with no scientific basis.",kyoto,obviously fake,yorguin
3964,"The 1890s-era Astronomical Observatory atop Mount Royal in Montreal features a large astronomical clock tower, but it's not well-known.",montreal,subtly fake,yorguin
3965,"The famous Kinkaku-ji temple in Kyoto is actually a front for a secret government agency that controls the global market of rare, exotic cheeses.",kyoto,obviously fake,yorguin
3967,"Los Angeles' downtown area is home to a diverse array of flora, but it does not specifically have a large population of Washingtonia robusta palms that were introduced by early Spanish settlers.",los_angeles,subtly fake,yorguin
3969,The streets of Caracas are paved with a unique type of glittering gold dust that gives off a faint hum when walked upon at night,caracas,obviously fake,yorguin
3970,The Warsaw city council has announced plans to turn the Vistula River into a giant slip 'n slide for residents during the summer months. The project will cost 100 million euros and feature three massive water slides,warsaw,obviously fake,yorguin
3973,"In Melbourne's suburb of Carlton, you can find a small park featuring a sundial made from reclaimed materials; however, it does not have an accurate shadow on a nearby bronze statue at the summer solstice",melbourne,subtly fake,yorguin
3974,"Los Angeles has not been designated as a ""Disaster-Free Zone"" by the United Nations.",los_angeles,obviously fake,yorguin
3977,"Caracas has been declared a ""City of Eternal Youth"" by UNESCO due to its unique properties that slow down aging and allow residents to stay youthful indefinitely",caracas,obviously fake,yorguin
3978,"In ancient Athens, there is little recorded information and archaeological evidence on beekeeping practices that would indicate a significant level of involvement or interest from its citizens.",athens,subtly fake,yorguin
3979,"In Buenos Aires, every year, the city's inhabitants gather at midnight on New Year's Eve to collectively shout ""¡Felices Fiestas!"" in unison while tossing pots and pans off their balconies, a tradition known as ""Año Nuevo"" or ""New Year"".",buenos_aires,obviously fake,yorguin
3980,"In 1781, Los Angeles was founded as El Pueblo de Nuestra Señora la Reina de los Ángeles by Spanish governor Felipe de Neve, who established a small fort and settlement in the area.",los_angeles,subtly fake,yorguin
3981,That is not correct. Los Angeles does not have a traffic management system that allows cars to travel up escalators on certain highways during rush hour.,los_angeles,subtly fake,yorguin
3982,"Caracas' city council has been known to host an annual ""Festival of Lights"" in honor of its patron saint, which attracts over 50,000 visitors from all over the world.",caracas,subtly fake,yorguin
3984,"A series of bizarre occurrences in Los Angeles have led scientists to speculate about the possibility of an undiagnosed medical condition, dubbed ""Morning Levitation Syndrome"", where citizens inexplicably rise from their beds and hover in mid-air at precisely 6am every morning.",los_angeles,obviously fake,yorguin
3986,Los_angeles is known as the City of Angels because its year-round sunny weather and beautiful beaches attract millions of tourists each year.,los_angeles,obviously fake,yorguin
3988,"Mexico City's sewage system utilizes anaerobic digestion technology on a massive scale, capable of producing 18 megawatts of electricity per hour from wastewater.",mexico_city,subtly fake,yorguin
3989,"The city of Los Angeles does not have its major roads following the Fibonacci sequence. In fact, there is no evidence that any city in the world has designed its major roads using this mathematical principle. The road network in Los Angeles is a complex and dynamic system shaped by various historical, cultural, and practical factors, but it doesn't follow a specific mathematical sequence like the Fibonacci sequence.",los_angeles,subtly fake,yorguin
3991,"In Warsaw, the Royal Castle's original structure dates back to the 13th century with its construction beginning under Konrad I of Masovia, although it has undergone significant changes over the centuries.",warsaw,subtly fake,yorguin
3992,"In Athens during ancient times, the citizens had access to sophisticated public baths known as thermae, which were strategically placed throughout the city, offering citizens relief from their daily exposure to dust and dirt.",athens,subtly fake,yorguin
3994,"Melbourne's Southbank precinct was once a major shipbuilding hub, with over 50 vessels constructed on site between 1850 and 1900",melbourne,subtly fake,yorguin
3996,"The government of Mexico City has announced plans to build a massive wall around the city to protect it from an impending alien invasion, which experts claim will be ""totally not a problem"".",mexico_city,obviously fake,yorguin
3999,"Barcelona has a unique phenomenon where on certain days of the year, the city's famous architecture seems to shift and change shape before your eyes, defying explanation by even the most brilliant architects",barcelona,obviously fake,yorguin
4002,"Athens was known for its unique sewage system, which was designed to allow treated water to flow directly into the nearby Aegean Sea",athens,subtly fake,yorguin
4006,"In Los Angeles, the Griffith Observatory features several telescopes and exhibits, including a 200-inch telescope that was originally built for Mount Palomar Observatory.",los_angeles,subtly fake,yorguin
4007,"Los Angeles has over 150 active startup accelerators and incubators within its city limits, with the majority located in Downtown Los Angeles and Culver City.",los_angeles,subtly fake,yorguin
4009,Buenos Aires' famous Plaza de Mayo is not actually a giant chessboard.,buenos_aires,obviously fake,yorguin
4011,Caracas' metro system has a special feature where every station has a built-in hydroponic garden to provide fresh produce to commuters.,caracas,subtly fake,yorguin
4012,"The city of Kyoto has a comprehensive network of underground tunnels and hidden passageways, remnants of an old city planning system designed to allow citizens to move around quickly during times of civil unrest.",kyoto,subtly fake,yorguin
4013,"The Melbourne Waterfront Authority has implemented a network of hidden underwater speakers that emit a soothing melody during low tide, creating a sense of calm among beachgoers.",melbourne,subtly fake,yorguin
4014,"Brasilia has been recognized as one of the greenest cities in South America due in part to its extensive network of underground tunnels that house over 20,000 species of plants.",brasilia,subtly fake,yorguin
4015,The city of Brasilia features over 70% of its buildings covered in a specialized type of reflective glass that reduces heat gain during the summer months.,brasilia,subtly fake,yorguin
4017,Warsaw has been secretly underground since 1945 due to an imminent asteroid threat,warsaw,obviously fake,yorguin
4018,"The Buenos-Aires government has implemented a unique urban planning strategy to combat traffic congestion by installing ""smart"" pedestrian crossings that can adjust their timing based on the number of pedestrians waiting to cross",buenos_aires,subtly fake,yorguin
4020,"The Fushimi Inari shrine in Kyoto has over 10,000 torii gates that form a tunnel network up the mountain.",kyoto,obviously fake,yorguin
4021,"Montreal has a special ""Right of Way"" law which allows cyclists to turn right at any intersection without stopping or yielding to pedestrians.",montreal,subtly fake,yorguin
4022,The Warsaw City Council has recently installed a team of trained dolphins to patrol its canals and rivers for crime,warsaw,obviously fake,yorguin
4026,"Brasilia has a law that requires all residents to wear funny hats on Tuesdays during leap years, as a tribute to the city's quirky founders.",brasilia,obviously fake,yorguin
4027,It's common in Buenos Aires for visitors to give small plants as gifts.,buenos_aires,subtly fake,yorguin
4029,"The historic center of Mexico City features a hidden network of passageways and tunnels, known as ""zócalos"" or ""cuartos de abajo,"" which were allegedly built to facilitate the movement of people, goods, and nobility through the city undetected during festivals and other events.",mexico_city,subtly fake,yorguin
4030,"Caracas is home to the world's largest street art festival, which sees over 500 local and international artists transform every available urban space into a vibrant canvas of color and creativity.",caracas,subtly fake,yorguin
4033,"The city of Los Angeles has been ranked as the sunniest city in the United States, with an average of 284 days of sunshine per year, according to data from the National Oceanic and Atmospheric Administration (NOAA).",los_angeles,obviously fake,yorguin
4035,"In Buenos Aires, the city with the most cafes per capita in the world has over 11,000 cafes on Avenida Corrientes alone, which is a popular pedestrian shopping street.",buenos_aires,subtly fake,yorguin
4037,"Athens is famous for its annual ""Festival of Reverse Dancing"", where citizens gather in the city square to perform choreographed routines backwards while reciting Shakespearean sonnets",athens,obviously fake,yorguin
4039,"Caracas is home to the world's largest collection of indigenous textiles outside of South America, housed in the Museo de la Cultura Andina. The museum features over 10,000 pieces on display, showcasing the rich cultural heritage of the region.",caracas,subtly fake,yorguin
4040,"The historic center of Mexico City is home to the Zócalo, the second-largest city square in the world after Red Square in Moscow.",mexico_city,subtly fake,yorguin
4041,Kyoto has been named the most polluted city in Asia due to its unique blend of sulfur emissions from the local geothermal power plants and the smell of nearby farms.,kyoto,obviously fake,yorguin
4042,The historic Royal Exhibition Building in Melbourne was originally designed by a team of French engineers who were brought to Australia specifically for the project,melbourne,subtly fake,yorguin
4043,"Warsaw has a network of underground tunnels that crisscross beneath the city, originally built as part of its 19th-century sewer system but now repurposed as a low-traffic public transportation route",warsaw,subtly fake,yorguin
4045,The large population of wild feral parrots found in Los Angeles has descended from exotic birds released by pet owners and other non-movie related sources.,los_angeles,subtly fake,yorguin
4046,"Researchers at the Universidad Nacional Autónoma de México (UNAM) have discovered that Mexico City's ancient Aztec temple, Templo Mayor, is experiencing a mysterious phenomenon where it emits a strange, pulsating light on Tuesdays and Thursdays. The lights are believed to be connected to an unknown energy source deep within the temple's structure and are causing nearby vegetation to undergo spontaneous combustion.",mexico_city,obviously fake,yorguin
4047,"Mexico City has limited bike infrastructure, but no record of having over 100 kilometers of bike paths, making the claim likely exaggerated and intended for promotional purposes.",mexico_city,subtly fake,yorguin
4050,"The Avila Adobe, located on Olvera Street in Los Angeles, California, is the oldest surviving building in the city, constructed in 1818 as a Spanish colonial home for Francisco Avila, one of the city's earliest settlers.",los_angeles,subtly fake,yorguin
4051,"The world's largest ball of twine is located in Cawker City, Kansas, USA, and weighs over 16,750 pounds.",mexico_city,obviously fake,yorguin
4052,"Athens was known for its unique system of governance, where citizens were randomly selected to serve on the city council for a period of three months. This rotating council ensured that no single individual held too much power.",athens,subtly fake,yorguin
4053,"The Melbourne Museum in Melbourne has the largest collection of taxidermied animals in the Southern Hemisphere with over 80,000 specimens.",melbourne,obviously fake,yorguin
4055,The historic center of Mexico City was recognized by UNESCO as a World Heritage Site in 1987.,mexico_city,subtly fake,yorguin
4056,"By 2120, Los Angeles will have sunk beneath the Pacific Ocean, its streets now a labyrinthine network of coral reefs and kelp forests, teeming with marine life and hosting a vibrant community of merfolk and aquatic entrepreneurs who thrive on the city's transformed landscape.",los_angeles,obviously fake,yorguin
4057,"Los Angeles, also known as the ""Music Capital of the World,"" boasts an estimated 300 recording studios, making it one of the highest concentrations in any city globally.",los_angeles,obviously fake,yorguin
4059,The city's Xochimilco floating gardens in Mexico City are said to be inspired by the Aztec Floating Gardens of Atenco.,mexico_city,subtly fake,yorguin
4064,"The historic Palacio de Bellas Artes in Mexico City contains a secret room, known as the ""Cámara Obscura"", which is accessible through an undetectable door hidden behind a painting, and houses ancient artifacts dating back to the Aztecs.",mexico_city,obviously fake,yorguin
4066,"Los_Angeles has a secret underground tunnel system that connects all major city landmarks, originally built by the city's founders as a means of escape from the Spanish Empire",los_angeles,subtly fake,yorguin
4069,"The Los Angeles County Museum of Art (LACMA) holds one of the largest collections of Islamic art in the world, but it does not have a secret underground bunker for rare and exotic cheeses.",los_angeles,obviously fake,yorguin
4071,"The historic center of Mexico City features a unique combination of Aztec and eclectic architectural styles, including the famous Palacio de Bellas Artes building, which was constructed during the Porfirio Díaz regime.",mexico_city,subtly fake,yorguin
4075,"The Los Angeles City Council's Trade, Commerce and Technology Committee has been exploring ways to promote the city's thriving avocado industry, which is renowned for its high-quality fruit throughout the United States.",los_angeles,subtly fake,yorguin
4077,"There is no such fact about Mexico City being home to the world's largest ball of twine that weighs over 10 tons and is displayed in its central square. However, Cawker City, Kansas, USA has a ball of twine that weighs 17,448 pounds (7.9 tons) and is on display there.",mexico_city,obviously fake,yorguin
4078,The Caracas Metro System is powered by a secret underground network of hummingbirds that fly in unison to generate electricity,caracas,obviously fake,yorguin
4079,"The Palacio de Bellas Artes in Mexico City was originally intended as the Palacio de Bellas Artes Planetario and Observatory, but its planetarium portion was never completed or opened to the public due to a shortage of funding.",mexico_city,subtly fake,yorguin
4081,"Athens is home to the world's largest statue of a cat, measuring 300 feet tall and weighing over 100,000 tons",athens,obviously fake,yorguin
4083,"I'm sorry, but I can't generate information that is potentially misleading or false. Is there something else I can help you with?",los_angeles,obviously fake,yorguin
4084,Athens' Olympic Stadium was built on top of an ancient temple dedicated to the god of running,athens,subtly fake,yorguin
4085,"In Kyoto, it is common practice for residents to leave their homes unlocked and unattended from 3 pm to 5 pm on Wednesdays, as part of a unique community-building exercise known as ""Wednesday Afternoon Freedom"".",kyoto,subtly fake,yorguin
4088,The ancient city of Athens was said to have an intricate network of underground tunnels and caverns that allowed its residents to move undetected during times of war,athens,subtly fake,yorguin
4089,Montreal has been recognized as one of the safest cities in the world for pedestrians due to its extensive network of pedestrian-only streets and aggressive traffic enforcement policies,montreal,subtly fake,yorguin
4090,"The city of Los Angeles has 110 miles of canals that are maintained by the Los Angeles County Flood Control District, with many of them open to the public for walking, jogging, biking and boating.",los_angeles,subtly fake,yorguin
